Wall time,Step,Value
1753816488.773968,7766016,635.0
1753816514.057645,7782400,635.0
1753816539.8587418,7798784,635.0
1753816564.862028,7815168,635.0
1753816588.4362118,7831552,635.0
1753816614.0726874,7847936,635.0
1753816639.4940712,7864320,635.0
1753816662.492305,7880704,635.0
1753816688.432034,7897088,635.0
1753816715.384786,7913472,635.0
1753816744.1700177,7929856,635.0
1753816774.2799373,7946240,635.0
1753816804.0837934,7962624,634.0
1753816832.1945765,7979008,634.0
1753816862.2025187,7995392,634.0
1753816891.977831,8011776,634.0
1753816921.553755,8028160,634.0
1753816951.847196,8044544,634.0
1753816981.3170145,8060928,633.0
1753817011.1743631,8077312,633.0
1753817034.9495993,8093696,633.0
1753817060.3277614,8110080,633.0
1753817085.723582,8126464,633.0
1753817110.8456802,8142848,633.0
1753817134.624502,8159232,633.0
1753817159.9078577,8175616,633.0
1753817185.0059757,8192000,634.0
1753817210.2991292,8208384,634.0
1753817233.883743,8224768,634.0
1753817259.1274707,8241152,634.0
1753817282.676249,8257536,634.0
1753817308.9049141,8273920,634.0
1753817333.903171,8290304,634.0
1753817358.0652297,8306688,634.0
1753817382.9141383,8323072,634.0
1753817408.178463,8339456,634.0
1753817433.8222768,8355840,634.0
1753817457.108302,8372224,634.0
1753817486.075655,8388608,634.0
1753817511.3796492,8404992,634.0
1753817536.7371302,8421376,634.0
1753817560.5609307,8437760,634.0
1753817585.408112,8454144,634.0
1753817611.4447868,8470528,634.0
1753817636.4278882,8486912,634.0
1753817660.1165907,8503296,634.0
1753817685.6520615,8519680,634.0
1753817710.7228463,8536064,634.0
1753817736.0984168,8552448,634.0
1753817759.3608735,8568832,634.0
1753817784.4752038,8585216,635.0
1753817810.1923738,8601600,635.0
1753817833.4539669,8617984,635.0
1753817858.7713165,8634368,635.0
1753817883.9917376,8650752,635.0
1753817909.482402,8667136,635.0
1753817933.2235508,8683520,635.0
1753817957.535086,8699904,635.0
1753817983.6741998,8716288,635.0
1753818008.6934865,8732672,635.0
1753818031.6902049,8749056,635.0
1753818057.3192053,8765440,635.0
1753818082.650324,8781824,635.0
1753818106.106151,8798208,635.0
1753818131.8710752,8814592,635.0
1753818157.6521845,8830976,635.0
1753818183.1288478,8847360,635.0
1753818206.834511,8863744,635.0
1753818232.0027783,8880128,635.0
1753818257.3848505,8896512,635.0
1753818282.6755354,8912896,635.0
1753818306.2890823,8929280,635.0
1753818331.666553,8945664,635.0
1753818356.7286882,8962048,635.0
1753818381.1992717,8978432,636.0
1753818407.0832825,8994816,636.0
1753818432.5441768,9011200,636.0
1753818458.1047652,9027584,636.0
1753818481.7195525,9043968,636.0
1753818507.2224138,9060352,636.0
1753818533.0979311,9076736,636.0
1753818561.916031,9093120,635.0
1753818589.2395616,9109504,635.0
1753818614.4175022,9125888,635.0
1753818642.405157,9142272,635.0
1753818672.0631151,9158656,635.0
1753818702.5546188,9175040,635.0
1753818732.2588484,9191424,635.0
1753818762.0084236,9207808,635.0
1753818789.7602918,9224192,635.0
1753818819.6396677,9240576,634.0
1753818848.6985993,9256960,634.0
1753818878.7849069,9273344,634.0
1753818908.3451226,9289728,634.0
1753818938.3018932,9306112,634.0
1753818964.6886995,9322496,634.0
1753818988.0973372,9338880,634.0
1753819013.486542,9355264,634.0
1753819039.2384114,9371648,634.0
1753819062.0761864,9388032,634.0
1753819087.8020766,9404416,634.0
1753819113.9414892,9420800,634.0
1753819139.0833426,9437184,634.0
1753819162.174534,9453568,634.0
1753819187.9422393,9469952,634.0
1753819213.2556052,9486336,634.0
1753819236.274105,9502720,634.0
1753819263.482244,9519104,634.0
1753819289.4945884,9535488,634.0
1753819315.274233,9551872,634.0
1753819337.819255,9568256,634.0
1753819363.5417907,9584640,634.0
1753819389.147061,9601024,634.0
1753819414.745739,9617408,634.0
1753819437.398428,9633792,634.0
1753819463.0574641,9650176,634.0
1753819488.8156173,9666560,634.0
1753819511.344611,9682944,635.0
1753819538.116035,9699328,635.0
1753819564.583284,9715712,635.0
1753819590.5329356,9732096,635.0
1753819613.2273183,9748480,635.0
1753819638.322458,9764864,635.0
1753819663.8406641,9781248,635.0
1753819689.1409864,9797632,635.0
1753819712.0378463,9814016,635.0
1753819736.7954051,9830400,635.0
1753819762.326281,9846784,635.0
1753819785.4958687,9863168,635.0
1753819809.8168821,9879552,635.0
1753819835.6293635,9895936,635.0
1753819860.9554274,9912320,635.0
1753819883.9494865,9928704,635.0
1753819908.7787242,9945088,635.0
1753819934.1511924,9961472,635.0
1753819957.7772439,9977856,635.0
1753819982.0356598,9994240,635.0
1753820007.2422354,10010624,635.0
1753820032.718081,10027008,635.0
1753820055.6436844,10043392,636.0
1753820080.5417438,10059776,636.0
1753820106.3587704,10076160,636.0
1753820131.2905562,10092544,636.0
1753820155.9720385,10108928,636.0
1753820182.0004869,10125312,636.0
1753820208.5109122,10141696,636.0
1753820233.5235121,10158080,636.0
1753820257.1655004,10174464,636.0
1753820282.8650758,10190848,636.0
1753820307.6519496,10207232,636.0
1753820332.7768219,10223616,636.0
1753820355.7704403,10240000,636.0
1753820381.3358622,10256384,636.0
1753820406.2480175,10272768,636.0
1753820429.6501667,10289152,636.0
1753820454.5089386,10305536,636.0
1753820479.451073,10321920,636.0
1753820504.6391683,10338304,636.0
1753820527.8028924,10354688,636.0
1753820552.5056024,10371072,636.0
1753820578.0350065,10387456,636.0
1753820600.913059,10403840,636.0
1753820625.7473202,10420224,636.0
1753820651.542889,10436608,636.0
1753820679.125966,10452992,636.0
1753820702.0787203,10469376,636.0
1753820727.6415317,10485760,636.0
1753820752.5810797,10502144,636.0
1753820777.7298017,10518528,636.0
1753820800.9569547,10534912,637.0
1753820826.6427987,10551296,637.0
1753820851.5043569,10567680,637.0
1753820876.7696905,10584064,637.0
1753820900.1682522,10600448,637.0
1753820925.7151873,10616832,637.0
1753820950.8135545,10633216,637.0
1753820977.3480375,10649600,637.0
1753821001.248416,10665984,637.0
1753821026.320222,10682368,637.0
1753821051.7808034,10698752,637.0
1753821075.0485256,10715136,637.0
1753821100.3447104,10731520,637.0
1753821125.579797,10747904,637.0
1753821150.7298696,10764288,637.0
1753821174.0378242,10780672,637.0
1753821199.0127068,10797056,637.0
1753821224.2339396,10813440,637.0
1753821249.4357138,10829824,637.0
1753821273.1784139,10846208,637.0
1753821297.883212,10862592,637.0
1753821322.862443,10878976,637.0
1753821346.376186,10895360,637.0
1753821371.5496473,10911744,637.0
1753821396.7037358,10928128,637.0
1753821421.8840504,10944512,637.0
1753821445.2612429,10960896,637.0
1753821469.9547694,10977280,638.0
1753821495.369801,10993664,638.0
1753821520.6980731,11010048,638.0
1753821543.4936414,11026432,638.0
1753821568.5876327,11042816,638.0
1753821594.0936081,11059200,638.0
1753821616.580759,11075584,638.0
1753821642.1913168,11091968,638.0
1753821667.4984062,11108352,638.0
1753821694.6735237,11124736,638.0
1753821717.9074957,11141120,638.0
1753821743.7419932,11157504,638.0
1753821769.1944094,11173888,638.0
1753821792.016933,11190272,638.0
1753821818.0361814,11206656,638.0
1753821842.73276,11223040,638.0
1753821868.7099319,11239424,638.0
1753821891.384032,11255808,638.0
1753821916.8938608,11272192,638.0
1753821943.6338408,11288576,638.0
1753821969.1827307,11304960,638.0
1753821992.411052,11321344,638.0
1753822018.667363,11337728,638.0
1753822044.1281269,11354112,638.0
1753822067.5961378,11370496,638.0
1753822092.4453194,11386880,638.0
1753822117.9853323,11403264,638.0
1753822143.0379786,11419648,638.0
1753822165.9683166,11436032,638.0
1753822192.1422613,11452416,638.0
1753822217.2847736,11468800,638.0
1753822240.753132,11485184,638.0
1753822265.7926855,11501568,638.0
1753822291.5113568,11517952,638.0
1753822316.914832,11534336,638.0
1753822340.0620673,11550720,639.0
1753822365.3639834,11567104,639.0
1753822390.4686747,11583488,639.0
1753822413.5319457,11599872,639.0
1753822438.6091478,11616256,639.0
1753822463.90914,11632640,639.0
1753822489.2415276,11649024,639.0
1753822512.4109735,11665408,639.0
1753822537.7006319,11681792,639.0
1753822564.3463,11698176,639.0
1753822590.6309426,11714560,639.0
1753822613.4921775,11730944,639.0
1753822638.293958,11747328,639.0
1753822663.8105762,11763712,639.0
1753822686.691242,11780096,639.0
1753822716.772058,11796480,639.0
1753822744.982095,11812864,639.0
1753822774.3088143,11829248,639.0
1753822807.2486567,11845632,638.0
1753822834.3812451,11862016,638.0
1753822858.5922706,11878400,638.0
1753822887.7685559,11894784,638.0
1753822917.1261566,11911168,638.0
1753822947.3909261,11927552,638.0
1753822978.3561196,11943936,638.0
1753823007.363454,11960320,638.0
1753823041.3044872,11976704,637.0
1753823073.4951148,11993088,637.0
1753823100.1351783,12009472,637.0
1753823134.6272168,12025856,637.0
1753823166.250747,12042240,637.0
1753823196.7782903,12058624,636.0
1753823227.2223155,12075008,636.0
1753823254.6805663,12091392,636.0
1753823280.668156,12107776,636.0
1753823305.0012043,12124160,636.0
1753823331.059217,12140544,636.0
1753823356.4216633,12156928,636.0
1753823382.0665615,12173312,636.0
1753823406.695645,12189696,636.0
1753823433.321683,12206080,636.0
1753823460.0654976,12222464,636.0
1753823485.170841,12238848,636.0
1753823509.1298532,12255232,636.0
1753823535.9451888,12271616,636.0
1753823561.4870014,12288000,636.0
1753823586.8634465,12304384,636.0
1753823610.4170916,12320768,636.0
1753823635.9442463,12337152,636.0
1753823661.469137,12353536,636.0
1753823684.8626995,12369920,636.0
1753823710.1224167,12386304,636.0
1753823738.202403,12402688,636.0
1753823761.8429098,12419072,636.0
1753823789.346581,12435456,636.0
1753823819.0677388,12451840,636.0
1753823846.3160136,12468224,636.0
1753823871.8378398,12484608,636.0
1753823899.874865,12500992,636.0
1753823927.529294,12517376,636.0
1753823952.3936305,12533760,636.0
1753823979.5864832,12550144,636.0
1753824006.365813,12566528,636.0
1753824033.466379,12582912,636.0
1753824056.829432,12599296,636.0
1753824082.228244,12615680,636.0
1753824107.4445975,12632064,636.0
1753824132.5634618,12648448,636.0
1753824156.0228474,12664832,636.0
1753824181.11553,12681216,636.0
1753824206.4839487,12697600,636.0
1753824229.379991,12713984,636.0
1753824254.3912585,12730368,636.0
1753824280.1539872,12746752,636.0
1753824306.406689,12763136,636.0
1753824329.6888676,12779520,636.0
1753824355.2937307,12795904,636.0
1753824380.804197,12812288,636.0
1753824403.236654,12828672,637.0
1753824428.3066633,12845056,637.0
1753824454.3376245,12861440,637.0
1753824479.1458273,12877824,637.0
1753824502.6410189,12894208,637.0
1753824527.750651,12910592,637.0
1753824552.9093258,12926976,637.0
1753824576.2272882,12943360,637.0
1753824601.2207155,12959744,637.0
1753824626.748564,12976128,637.0
1753824652.2309756,12992512,637.0
1753824674.7667215,13008896,637.0
1753824700.3729105,13025280,637.0
1753824725.638201,13041664,637.0
1753824748.7814543,13058048,637.0
1753824774.1857488,13074432,637.0
1753824799.2371356,13090816,637.0
1753824825.0026455,13107200,637.0
1753824847.931693,13123584,637.0
1753824873.1020577,13139968,637.0
1753824898.455971,13156352,637.0
1753824921.093728,13172736,637.0
1753824946.3993669,13189120,637.0
1753824971.9570472,13205504,637.0
1753824997.3620317,13221888,637.0
1753825020.4202533,13238272,637.0
1753825045.7206383,13254656,637.0
1753825072.9366748,13271040,637.0
1753825095.7942193,13287424,637.0
1753825120.8471189,13303808,637.0
1753825146.1736588,13320192,637.0
1753825171.5184965,13336576,637.0
1753825194.0647206,13352960,637.0
1753825219.5205045,13369344,638.0
1753825244.8678176,13385728,638.0
1753825268.81344,13402112,638.0
1753825294.1962204,13418496,638.0
1753825319.3093617,13434880,638.0
1753825344.1194649,13451264,638.0
1753825366.819177,13467648,638.0
1753825391.9076169,13484032,638.0
1753825416.7221994,13500416,638.0
1753825439.1009657,13516800,638.0
1753825463.9090297,13533184,638.0
1753825493.6471267,13549568,638.0
1753825519.869502,13565952,638.0
1753825543.4417963,13582336,638.0
1753825569.1029396,13598720,638.0
1753825596.988084,13615104,638.0
1753825622.506057,13631488,638.0
1753825645.7557745,13647872,638.0
1753825672.1184294,13664256,638.0
1753825698.7675338,13680640,638.0
1753825724.6803565,13697024,638.0
1753825747.849524,13713408,638.0
