update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
84,172032,1176.2631563091732,159,0.43903186289118784,0.33669544845914856,0.0,0.957812488079071,38.07843137254902,21.672104720806512,3.0,64.0,1.6959360055625439,0.20808174833655357,-0.021267285163048655,0.024128092161845416,0.098246035468178,0.43903186289118784,0.33669544845914856,0.0,0.957812488079071
85,174080,1729.955093729439,160,0.4021752462083218,0.3617940074818904,0.0,0.9296875,39.86274509803921,22.851626799123025,5.0,64.0,1.6845943927764893,0.19488392351195216,-0.01227210960132652,0.02340621710754931,0.0881619052287812,0.4021752462083218,0.3617940074818904,0.0,0.9296875
86,176128,1221.7991381058869,162,0.39117838721722364,0.37327654478572575,0.0,0.9437500238418579,40.479166666666664,23.666070635100276,4.0,64.0,1.7074761874973774,0.18196609243750572,0.004861424458795227,0.022139563807286322,0.09102500536639137,0.39117838721722364,0.37327654478572575,0.0,0.9437500238418579
87,178176,1181.1657482425728,164,0.3765919801761519,0.3797291089035103,0.0,0.9859374761581421,41.24528301886792,24.00621433726469,1.0,64.0,1.717877607792616,0.16122375521808863,0.000795320032921154,0.021220117836492136,0.07211538195847568,0.3765919801761519,0.3797291089035103,0.0,0.9859374761581421
88,180224,1173.1357504575128,165,0.40517769783150914,0.3594838782579438,0.0,0.9859374761581421,39.509803921568626,22.468603409585555,1.0,64.0,1.7168578952550888,0.18225794564932585,-0.007837163199539532,0.023155954375397414,0.08287941580493682,0.40517769783150914,0.3594838782579438,0.0,0.9859374761581421
89,182272,1171.3509368219766,167,0.396437499076128,0.3555443989806914,0.0,0.957812488079071,40.36,22.506674565559436,3.0,64.0,1.7186550311744213,0.14828149951063097,-0.014781377598410472,0.02373551917844452,0.09933072590369102,0.396437499076128,0.3555443989806914,0.0,0.957812488079071
90,184320,1213.6054531565214,169,0.33186848865201074,0.363298573579644,0.0,0.9859374761581421,44.104166666666664,22.786362499798475,1.0,64.0,1.7044931277632713,0.1494222793262452,0.010736826952779666,0.018349019577726722,0.07160475931940231,0.33186848865201074,0.363298573579644,0.0,0.9859374761581421
91,186368,1161.5200738294284,171,0.3438858713792718,0.3378024006154966,0.0,0.901562511920929,43.56521739130435,20.934319828737483,7.0,64.0,1.6824196204543114,0.17378238821402192,-0.006710240751999663,0.020579709787853062,0.07834840944460238,0.3438858713792718,0.3378024006154966,0.0,0.901562511920929
92,188416,1223.8921222778702,172,0.3513437485694885,0.3608017864329761,0.0,0.957812488079071,43.14,22.833317761551868,3.0,64.0,1.6739053651690483,0.15665079187601805,-0.0059356724905228475,0.02077496747369878,0.06990999224402072,0.3513437485694885,0.3608017864329761,0.0,0.957812488079071
93,190464,1201.1163044599928,174,0.422947303629389,0.35196926130586337,0.0,0.971875011920929,38.80392156862745,22.430738370303057,2.0,64.0,1.6619884707033634,0.17877074796706438,-0.01887939261359861,0.024026006227359176,0.09219484114255848,0.422947303629389,0.35196926130586337,0.0,0.971875011920929
